No.,Player Name,Position,Player_ID,Year,Country_Name,Nationality,Age,Height,Total Points,Average by Match,Attack Points,Efficiency,Attack Avg Points,Block Points,Block Success,Block Avg Points,Serve Points,Serve Success,Serve Avg Points
32.0,Azeez Oluwatobi Elliot,OH,181257,2021,Australia,Australia,22.0,190,56,4.67,51,38.06%,4.25,3,17.65%,0.25,2,4.17%,0.17
33.0,Flowerday Sam,OH,178207,2021,Australia,Australia,19.0,191,0,0.00,0,0.00%,0.00,0,-,-,0,0.00%,0.00
34.0,Greber Billy,L,181247,2021,Australia,Australia,19.0,183,0,-,0,-,-,0,-,-,0,-,-
,Marcos Miranda,COACH,N/A,2021,Australia,,,,,,,,,,,,,,
1.0,Rezende Bruno Mossa,S,116099,2021,Brazil,Brazil,35.0,190,21,1.24,9,64.29%,0.53,7,11.67%,0.41,5,3.38%,0.29
3.0,De Barros Ferreira João Rafael,OH,136955,2021,Brazil,Brazil,29.0,193,4,1.00,3,50.00%,0.75,0,-,-,1,11.11%,0.25
5.0,Borges Almeida Silva Mauricio,OH,132030,2021,Brazil,Brazil,33.0,2,39,2.29,33,41.25%,1.94,3,17.65%,0.18,3,5.45%,0.18
6.0,Gil Kreling Fernando,S,142744,2021,Brazil,Brazil,26.0,186,8,0.47,3,50.00%,0.18,2,11.76%,0.12,3,5.00%,0.18
8.0,De Souza Wallace,O,112869,2021,Brazil,Brazil,34.0,198,169,9.94,150,58.14%,8.82,10,16.95%,0.59,9,5.52%,0.53
9.0,Leal Hidalgo Yoandy,OH,118928,2021,Brazil,Brazil,33.0,202,162,10.80,139,51.10%,9.27,11,22.00%,0.73,12,8.11%,0.80
11.0,Kavalkievicz Gabriel,OH,151789,2021,Brazil,Brazil,25.0,191,7,0.70,6,60.00%,0.60,1,25.00%,0.10,0,0.00%,0.00
12.0,Santos Isac,MB,119872,2021,Brazil,Brazil,31.0,208,97,6.06,66,57.39%,4.12,21,25.30%,1.31,10,6.67%,0.62
13.0,De Souza Mauricio Luiz,MB,136734,2021,Brazil,Brazil,33.0,207,58,4.46,36,56.25%,2.77,19,21.11%,1.46,3,2.70%,0.23
